coordination,pipeline_condition,accuracy,fallback_frequency,low_confidence_frequency,centroid_shift_mean,centroid_shift_gm,centroid_shift_delta
uncoordinated,majority_answer_vote,0.725,0.0,0.0,0.3389515023678541,0.09489244161268293,0.24405906075517123
uncoordinated,stage1_only,0.675,0.025,0.0,0.3389515023678541,0.09489244161268293,0.24405906075517123
uncoordinated,full_pipeline,0.575,0.025,0.1125,0.3389515023678541,0.09489244161268293,0.24405906075517123
coordinated,majority_answer_vote,0.625,0.0,0.0,0.3526482479646802,0.11325814890361566,0.23939009906106454
coordinated,stage1_only,0.7,0.025,0.0,0.3526482479646802,0.11325814890361566,0.23939009906106454
coordinated,full_pipeline,0.5625,0.025,0.0875,0.3526482479646802,0.11325814890361566,0.23939009906106454
maximally_adversarial,majority_answer_vote,0.625,0.0,0.0,0.3526482479646802,0.11325814890361566,0.23939009906106454
maximally_adversarial,stage1_only,0.7,0.025,0.0,0.3526482479646802,0.11325814890361566,0.23939009906106454
maximally_adversarial,full_pipeline,0.5625,0.025,0.0875,0.3526482479646802,0.11325814890361566,0.23939009906106454
