coordination,pipeline_condition,accuracy,fallback_frequency,nli_fallback_frequency,centroid_shift_mean,centroid_shift_gm,centroid_shift_delta
uncoordinated,majority_answer_vote,0.6444444444444445,0.0,0.0,0.3476579507191976,0.06549976747873802,0.28215818324045955
uncoordinated,stage1_only,0.6333333333333333,0.15555555555555556,0.0,0.3476579507191976,0.06549976747873802,0.28215818324045955
uncoordinated,full_pipeline,0.6222222222222222,0.15555555555555556,0.0,0.3476579507191976,0.06549976747873802,0.28215818324045955
coordinated,majority_answer_vote,0.6444444444444445,0.0,0.0,0.36649207241005366,0.07623072144053744,0.2902613509695163
coordinated,stage1_only,0.6444444444444445,0.15555555555555556,0.0,0.36649207241005366,0.07623072144053744,0.2902613509695163
coordinated,full_pipeline,0.6333333333333333,0.15555555555555556,0.0,0.36649207241005366,0.07623072144053744,0.2902613509695163
maximally_adversarial,majority_answer_vote,0.6444444444444445,0.0,0.0,0.36649207241005366,0.07623072144053744,0.2902613509695163
maximally_adversarial,stage1_only,0.6444444444444445,0.15555555555555556,0.0,0.36649207241005366,0.07623072144053744,0.2902613509695163
maximally_adversarial,full_pipeline,0.6333333333333333,0.15555555555555556,0.0,0.36649207241005366,0.07623072144053744,0.2902613509695163
